Needed Data,*High frequency and manually sampled data should be in seperate files,,,,,,,,,,,,,
,Name,Units,Mendota,Trout Lake,Sparkling,Big Musky,FCR,Suggs,Barco,Crampton,Little Rock,Toolik,Prairie Lake,Prairie Pothole
Chl a EXO,chlor_rfu,RFU,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.129.35,,,,,,,,,,,
DO EXO,DO_mgl,mg/L,,,,,,,,,,,,
fDOM EXO,fdom_rfu,RFU,,,,,,,,,,,,
temp EXO,DEG_C,Celcius,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.130.31,,,,,,,,,,,
thermoster temp,DEG_C,Celcius,,,,,,,,,,,,
phycocyanin EXO,phyco_rfu,RFU,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.129.35,,,,,,,,,,,
TP Unfiltered,,,https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-chemical-limnology-primary-study-lakes-nutrients-ph-and-carbon-19,,,,,,,,,,,
Dissolved reactive P,,,,,,,,,,,,,,
TN unfiltered,,,,,,,,,,,,,,
Nitrite,NO2,ug/L,,,,,,,,,,,,
Nitrate,NO3,ug/L,,,,,,,,,,,,
Ammonium,NH4,ug/L,,,,,,,,,,,,
DIC,,,,,,,,,,,,,,
DOC,,,,,,,,,,,,,,
POC,,,,,,,,,,,,,,
PAR (abovewater),par,umole/m2/s,,,,,,,,,,,,
Secchi,secchi_m,meters,,,,,,,,,,,,
Chla a filtered,chlor_mgL,ug/L,,,,,,,,,,,,
non-sensor temp,DEG_C,Celcius,,,,,,,,,,,,
non-sensor DO,DO_mgl,mg/L,,,,,,,,,,,,
"inflows (Q + loads) (USGS method, working on the details)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Example Data Format,,,,,,,,,,,,,,
datetime,lake,depth,variable,observation,flag,,,,,,,,,
3/31/2020 18:00,Mendota,1,DEG_C,3.553285384,,,,,,,,,,
3/31/2020 19:00,Mendota,1,DEG_C,3.532146334,,,,,,,,,,
3/31/2020 20:00,Mendota,1,DEG_C,3.567669689,,,,,,,,,,
3/31/2020 21:00,Mendota,1,DEG_C,3.621061372,,,,,,,,,,
3/31/2020 22:00,Mendota,1,DEG_C,3.656424837,,,,,,,,,,
3/31/2020 23:00,Mendota,1,DEG_C,3.683523903,,,,,,,,,,
4/1/2020 0:00,Mendota,1,DEG_C,3.713414833,,,,,,,,,,
4/1/2020 1:00,Mendota,1,DEG_C,3.710168454,,,,,,,,,,
4/1/2020 2:00,Mendota,1,DEG_C,3.69351223,,,,,,,,,,
4/1/2020 3:00,Mendota,1,DEG_C,3.675120646,,,,,,,,,,
4/1/2020 4:00,Mendota,1,DEG_C,3.630450961,,,,,,,,,,
6/27/2006 21:31,Mendota,0,chlor_rfu,99.98,,,,,,,,,,
6/27/2006 21:32,Mendota,0,chlor_rfu,70.77,,,,,,,,,,
6/27/2006 21:33,Mendota,0,chlor_rfu,93.64,,,,,,,,,,
6/27/2006 21:34,Mendota,0,chlor_rfu,77.45,,,,,,,,,,
6/27/2006 21:35,Mendota,0,chlor_rfu,73.94,,,,,,,,,,
6/27/2006 21:36,Mendota,0,chlor_rfu,73.44,,,,,,,,,,
6/27/2006 21:37,Mendota,0,chlor_rfu,65.1,,,,,,,,,,
6/27/2006 21:38,Mendota,0,chlor_rfu,79.62,,,,,,,,,,
6/27/2006 21:39,Mendota,0,chlor_rfu,79.62,,,,,,,,,,
6/27/2006 21:40,Mendota,0,chlor_rfu,65.1,,,,,,,,,,
6/27/2006 21:41,Mendota,0,chlor_rfu,80.79,,,,,,,,,,